고객ID,생년월일,성별,주소,가입일,고객세그먼트,금액,차량구분,구매 횟수,누적 구매 금액,구매 날짜,거래 방식,구매 경로,나이,연령대,구매 시즌,등급 점수,금액 점수,고객 등급 점수,할부 여부,지역 카테고리,구매 요일,구매 요일 카테고리,구매 횟수 점수,마지막 구매 이후 일수,구매 빈도 점수,거래 방식 점수,구매 경로 점수,고객 충성도 지수,등급,평균 고객 수명,고객 생애 가치 (CLV)
coehyeonji,1956-02-25,남,인천광역시 남동구 구월동 88-10,2023-12-19,신규,75020000,중형 SUV,5,375100000,2024-11-28,3,0,69,70대 이상,가을,1,5,6,1,인천광역시,3,평일,5,112,3,1,1,88,vip,3,1125300000.0
hongjiweon,1980-04-09,여,경기도 수원시 영통구 원천동 12-34,2023-02-20,vip,68050000,중형 SUV,2,136100000,2024-06-03,2,0,44,40대,여름,3,5,8,1,경기도,0,평일,2,290,2,1,1,60,일반,3,408300000.0
jihyeon92,1980-12-19,여,울산광역시 남구 달동 23-5,2023-02-22,일반,89190000,중형 SUV,2,178380000,2025-02-13,2,0,44,40대,겨울,2,5,7,1,울산광역시,3,평일,2,35,4,1,1,74,일반,3,535140000.0
yunseosong,1967-03-24,여,대전광역시 유성구 봉명동 44-2,2022-12-03,이탈가능,88480000,준중형 세단,1,88480000,2023-04-05,1,1,58,50대,봄,0,3,3,1,대전광역시,2,평일,1,715,1,1,1,37,이탈가능,3,265440000.0
ni,1977-11-10,여,전라북도 전주시 완산구 덕진동 33-7,2024-12-16,신규,65090000,중형 SUV,2,130180000,2024-04-17,2,1,47,40대,봄,1,5,6,1,전라북도,2,평일,2,337,2,1,1,55,일반,3,390540000.0
junyeongcoe,1962-07-02,남,대구광역시 수성구 범어동 55-3,2022-12-19,이탈가능,76580000,중형 SUV,5,382900000,2025-02-13,1,1,62,70대 이상,겨울,0,5,5,1,대구광역시,3,평일,5,35,4,1,1,91,vip,3,1148700000.0
seoyeon90,2005-03-04,여,서울특별시 종로구 청운동 67-89,2024-07-07,신규,57120000,준중형 세단,5,285600000,2024-08-31,2,1,20,20대,여름,1,5,6,1,서울특별시,5,주말,5,201,2,1,1,77,일반,3,856800000.0
jihyeon11,1985-06-07,남,대전광역시 유성구 봉명동 44-2,2024-08-28,vip,60270000,준대형 세단,2,120540000,2023-12-11,3,1,39,30대,겨울,3,5,8,1,대전광역시,0,평일,2,465,1,1,1,55,일반,3,361620000.0
pi,1965-07-21,남,충청남도 천안시 동남구 성성동 22-3,2024-08-24,일반,43120000,중형 SUV,1,43120000,2023-06-07,3,0,59,50대,여름,2,2,4,1,충청남도,2,평일,1,652,1,1,1,33,이탈가능,3,129360000.0
whan,1972-09-24,남,대구광역시 수성구 범어동 55-3,2024-08-14,일반,77400000,준중형 세단,1,77400000,2024-04-16,3,0,52,50대,봄,2,3,5,1,대구광역시,1,평일,1,338,2,1,1,47,일반,3,232200000.0
jidonghyeon,1999-03-22,남,충청남도 천안시 동남구 성성동 22-3,2024-02-04,신규,67120000,중형 SUV,1,67120000,2024-02-11,3,1,26,20대,겨울,1,3,4,1,충청남도,6,주말,1,403,1,1,1,40,이탈가능,3,201360000.0
seunghyeongim,1961-05-05,여,대구광역시 수성구 범어동 55-3,2023-07-28,이탈가능,50710000,준중형 세단,3,152130000,2023-04-15,2,0,63,70대 이상,봄,0,5,5,1,대구광역시,5,주말,3,705,1,1,1,59,일반,3,456390000.0
lgim,1954-03-13,남,충청남도 천안시 동남구 성성동 22-3,2024-11-04,일반,87880000,준중형 세단,4,351520000,2024-12-19,2,0,71,70대 이상,겨울,2,5,7,1,충청남도,3,평일,4,91,3,1,1,86,vip,3,1054560000.0
minjaegim,2002-09-24,여,전라북도 전주시 완산구 덕진동 33-7,2025-01-08,일반,79830000,준중형 세단,4,319320000,2024-06-26,3,0,22,20대,여름,2,5,7,1,전라북도,2,평일,4,267,2,1,1,81,vip,3,957960000.0
seohyeon32,1984-07-29,남,경기도 수원시 영통구 원천동 12-34,2023-07-07,이탈가능,79370000,준중형 세단,2,158740000,2023-05-15,1,0,40,40대,봄,0,5,5,1,경기도,0,평일,2,675,1,1,1,54,일반,3,476220000.0
sangceolcoe,1978-02-13,여,충청북도 청주시 상당구 낙실동 9-1,2023-06-22,신규,40770000,준대형 세단,3,122310000,2023-12-09,3,1,47,40대,겨울,1,5,6,1,충청북도,5,주말,3,467,1,1,1,55,일반,3,366930000.0
ai,2001-04-12,여,부산광역시 해운대구 우동 101-12,2023-10-27,vip,60710000,준중형 세단,4,242840000,2024-10-12,2,0,23,20대,가을,3,5,8,1,부산광역시,5,주말,4,159,3,1,1,82,vip,3,728520000.0
seonghun39,1975-06-29,남,서울특별시 종로구 청운동 67-89,2025-01-25,신규,37420000,중형 SUV,2,74840000,2024-09-02,2,1,49,40대,가을,1,3,4,0,서울특별시,0,평일,2,199,2,1,1,50,일반,3,224520000.0
yejungang,1973-09-17,남,경상남도 창원시 의창구 봉곡동 48-6,2022-12-11,신규,71520000,준중형 세단,5,357600000,2023-07-20,3,0,51,50대,여름,1,5,6,1,경상남도,3,평일,5,609,1,1,1,78,일반,3,1072800000.0
myeongsug84,2004-03-16,여,충청남도 천안시 동남구 성성동 22-3,2024-02-01,이탈가능,34130000,준중형 세단,5,170650000,2023-08-26,2,1,21,20대,여름,0,5,5,0,충청남도,5,주말,5,572,1,1,1,69,일반,3,511950000.0
jihye30,1957-10-24,남,대구광역시 수성구 범어동 55-3,2022-05-10,신규,76700000,중형 SUV,4,306800000,2023-09-16,2,0,67,70대 이상,가을,1,5,6,1,대구광역시,5,주말,4,551,1,1,1,73,일반,3,920400000.0
jhan,1958-05-01,남,경상북도 포항시 남구 대도동 19-2,2024-01-03,vip,57710000,준대형 세단,3,173130000,2024-06-07,1,0,66,70대 이상,여름,3,5,8,1,경상북도,4,평일,3,286,2,1,1,72,일반,3,519390000.0
jeonghoi,1987-04-06,남,부산광역시 해운대구 우동 101-12,2024-09-28,이탈가능,89020000,중형 SUV,3,267060000,2023-09-30,3,0,37,30대,가을,0,5,5,1,부산광역시,5,주말,3,537,1,1,1,59,일반,3,801180000.0
mjo,1975-08-30,남,전라북도 전주시 완산구 덕진동 33-7,2022-11-16,신규,89450000,중형 SUV,1,89450000,2023-03-18,3,1,49,40대,봄,1,3,4,1,전라북도,5,주말,1,733,1,1,1,40,이탈가능,3,268350000.0
hyeonsug93,1985-04-07,남,경기도 수원시 영통구 원천동 12-34,2022-12-06,일반,66280000,준중형 세단,5,331400000,2023-07-07,1,1,39,30대,여름,2,5,7,1,경기도,4,평일,5,622,1,1,1,81,일반,3,994200000.0
yujin12,1970-01-26,여,대전광역시 유성구 봉명동 44-2,2022-03-27,신규,33070000,중형 SUV,3,99210000,2023-12-19,1,0,55,50대,겨울,1,4,5,0,대전광역시,1,평일,3,457,1,1,1,53,일반,3,297630000.0
jeonghyibag,1977-01-22,남,대구광역시 수성구 범어동 55-3,2022-10-10,이탈가능,49550000,중형 SUV,2,99100000,2024-01-08,3,1,48,40대,겨울,0,4,4,1,대구광역시,0,평일,2,437,1,1,1,45,일반,3,297300000.0
yeongsuni,1963-02-13,남,전라남도 목포시 부주동 77-8,2022-11-16,이탈가능,36020000,준중형 세단,3,108060000,2024-08-07,1,0,62,70대 이상,여름,0,4,4,0,전라남도,2,평일,3,225,2,1,1,55,일반,3,324180000.0
eunji78,1997-04-15,남,서울특별시 종로구 청운동 67-89,2023-11-17,일반,64440000,준대형 세단,1,64440000,2025-01-03,1,0,27,20대,겨울,2,3,5,1,서울특별시,4,평일,1,76,4,1,1,58,신규,3,193320000.0
seungminjang,1954-06-08,남,경상남도 창원시 의창구 봉곡동 48-6,2022-10-27,이탈가능,43750000,준대형 세단,2,87500000,2024-09-18,1,1,70,70대 이상,가을,0,3,3,1,경상남도,2,평일,2,183,2,1,1,47,일반,3,262500000.0
caeweon92,1994-01-04,여,서울특별시 종로구 청운동 67-89,2024-07-06,이탈가능,79430000,중형 SUV,2,158860000,2024-04-04,2,0,31,30대,봄,0,5,5,1,서울특별시,3,평일,2,350,2,1,1,59,일반,3,476580000.0
qcoe,1958-06-02,남,광주광역시 서구 치평동 14-7,2023-10-09,일반,47210000,준중형 세단,5,236050000,2023-10-12,2,1,66,70대 이상,가을,2,5,7,1,광주광역시,3,평일,5,525,1,1,1,74,일반,3,708150000.0
jeongho77,1972-06-26,여,서울특별시 강남구 역삼동 123-45,2022-12-10,이탈가능,85590000,중형 SUV,5,427950000,2023-11-29,1,1,52,50대,가을,0,5,5,1,서울특별시,2,평일,5,477,1,1,1,76,일반,3,1283850000.0
jieuncoe,1977-04-04,여,울산광역시 남구 달동 23-5,2024-03-22,vip,71210000,준중형 세단,2,142420000,2024-09-20,1,1,47,40대,가을,3,5,8,1,울산광역시,4,평일,2,181,2,1,1,60,일반,3,427260000.0
ryuseonghyeon,1976-06-08,남,광주광역시 서구 치평동 14-7,2022-06-04,일반,89790000,준대형 세단,2,179580000,2025-02-08,2,0,48,40대,겨울,2,5,7,1,광주광역시,5,주말,2,40,4,1,1,74,일반,3,538740000.0
dohyeonhwang,1985-12-18,여,부산광역시 해운대구 우동 101-12,2023-01-10,vip,83120000,준대형 세단,2,166240000,2024-11-03,1,0,39,30대,가을,3,5,8,1,부산광역시,6,주말,2,137,3,1,1,72,일반,3,498720000.0
jungsu25,1982-09-08,남,충청북도 청주시 상당구 낙실동 9-1,2025-02-18,vip,81900000,준대형 세단,5,409500000,2024-11-28,3,1,42,40대,가을,3,5,8,1,충청북도,3,평일,5,112,3,1,1,94,vip,3,1228500000.0
donghyeonhwang,1997-09-02,남,광주광역시 서구 치평동 14-7,2025-02-17,vip,62020000,중형 SUV,4,248080000,2023-07-13,1,1,27,20대,여름,3,5,8,1,광주광역시,3,평일,4,616,1,1,1,72,일반,3,744240000.0
kgim,1997-06-02,여,광주광역시 서구 치평동 14-7,2024-03-03,신규,79780000,준대형 세단,4,319120000,2023-07-07,1,0,27,20대,여름,1,5,6,1,광주광역시,4,평일,4,622,1,1,1,73,일반,3,957360000.0
anyeonggil,1971-03-05,남,울산광역시 남구 달동 23-5,2024-03-21,일반,79430000,중형 SUV,3,238290000,2025-02-21,2,0,54,50대,겨울,2,5,7,1,울산광역시,4,평일,3,27,5,1,1,85,일반,3,714870000.0
haeun00,1956-02-23,여,서울특별시 종로구 청운동 67-89,2023-02-25,일반,30270000,중형 SUV,3,90810000,2025-02-23,3,0,69,70대 이상,겨울,2,4,6,0,서울특별시,6,주말,3,25,5,1,1,76,일반,3,272430000.0
yeongjagim,1986-02-12,남,부산광역시 해운대구 우동 101-12,2023-09-17,이탈가능,32780000,준중형 세단,5,163900000,2024-08-14,2,0,39,30대,여름,0,5,5,0,부산광역시,2,평일,5,218,2,1,1,74,일반,3,491700000.0
haeun06,1963-11-23,여,충청북도 청주시 상당구 낙실동 9-1,2022-09-06,vip,49320000,중형 SUV,2,98640000,2023-12-27,1,0,61,70대 이상,겨울,3,4,7,1,충청북도,2,평일,2,449,1,1,1,53,일반,3,295920000.0
yangyeongja,2000-03-31,남,인천광역시 남동구 구월동 88-10,2022-04-15,이탈가능,76660000,준대형 세단,4,306640000,2024-11-05,1,1,24,20대,가을,0,5,5,1,인천광역시,1,평일,4,135,3,1,1,81,vip,3,919920000.0
xbag,1983-12-18,남,경기도 성남시 분당구 정자동 56-78,2024-12-02,이탈가능,85860000,준중형 세단,2,171720000,2024-07-01,2,0,41,40대,여름,0,5,5,1,경기도,0,평일,2,262,2,1,1,59,일반,3,515160000.0
jihyeonbag,1988-04-18,남,인천광역시 남동구 구월동 88-10,2023-08-18,이탈가능,88130000,준중형 세단,5,440650000,2024-01-23,1,0,36,30대,겨울,0,5,5,1,인천광역시,1,평일,5,422,1,1,1,76,일반,3,1321950000.0
jungsuyun,1975-03-27,여,경기도 수원시 영통구 원천동 12-34,2022-11-02,vip,79770000,중형 SUV,2,159540000,2023-10-01,1,1,50,50대,가을,3,5,8,1,경기도,6,주말,2,536,1,1,1,62,일반,3,478620000.0
ygim,1984-05-24,남,광주광역시 서구 치평동 14-7,2023-09-15,신규,74040000,준대형 세단,1,74040000,2025-02-05,3,1,40,40대,겨울,1,3,4,1,광주광역시,2,평일,1,43,4,1,1,55,신규,3,222120000.0
pgim,1999-11-25,남,경상북도 포항시 남구 대도동 19-2,2022-11-08,일반,54940000,중형 SUV,2,109880000,2024-11-04,1,0,25,20대,가을,2,4,6,1,경상북도,0,평일,2,136,3,1,1,60,일반,3,329640000.0
sonyeongceol,1987-11-12,여,충청남도 천안시 동남구 성성동 22-3,2022-10-12,일반,72840000,중형 SUV,2,145680000,2024-01-16,2,1,37,30대,겨울,2,5,7,1,충청남도,1,평일,2,429,1,1,1,53,일반,3,437040000.0
anjeonghun,1977-06-26,남,광주광역시 서구 치평동 14-7,2022-03-25,일반,57850000,준대형 세단,1,57850000,2023-06-18,3,1,47,40대,여름,2,2,4,1,광주광역시,6,주말,1,641,1,1,1,40,이탈가능,3,173550000.0
eunyeong65,1987-05-31,남,울산광역시 남구 달동 23-5,2023-10-23,신규,57310000,중형 SUV,2,114620000,2023-08-16,1,0,37,30대,여름,1,4,5,1,울산광역시,2,평일,2,582,1,1,1,47,일반,3,343860000.0
bi,1981-08-17,남,대구광역시 수성구 범어동 55-3,2023-08-17,신규,45700000,준중형 세단,4,182800000,2024-11-30,3,1,43,40대,가을,1,5,6,1,대구광역시,5,주말,4,110,3,1,1,77,일반,3,548400000.0
ijeongsu,1991-07-10,남,경상남도 창원시 의창구 봉곡동 48-6,2022-05-13,vip,41850000,중형 SUV,2,83700000,2024-12-05,1,1,33,30대,겨울,3,3,6,1,경상남도,3,평일,2,105,3,1,1,60,일반,3,251100000.0
gimjeonghun,1994-04-30,여,대전광역시 유성구 봉명동 44-2,2023-10-31,일반,87840000,준중형 세단,1,87840000,2024-11-18,2,0,30,30대,가을,2,3,5,1,대전광역시,0,평일,1,122,3,1,1,53,일반,3,263520000.0
sugjagim,1980-02-20,남,부산광역시 해운대구 우동 101-12,2023-10-19,일반,84100000,준중형 세단,3,252300000,2024-08-31,2,0,45,40대,여름,2,5,7,1,부산광역시,5,주말,3,201,2,1,1,69,일반,3,756900000.0
yeji21,1989-05-27,여,경상북도 포항시 남구 대도동 19-2,2023-07-27,일반,82050000,중형 SUV,5,410250000,2023-04-27,1,1,35,30대,봄,2,5,7,1,경상북도,3,평일,5,693,1,1,1,81,일반,3,1230750000.0
seohyeon66,1969-11-21,여,경기도 수원시 영통구 원천동 12-34,2022-06-05,이탈가능,60860000,준중형 세단,5,304300000,2023-08-19,1,1,55,50대,여름,0,5,5,1,경기도,5,주말,5,579,1,1,1,76,일반,3,912900000.0
