연번,이름 (Name),생년월일 (Date of Birth),성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),고객 세그먼트 (Customer Segment),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path)
11,박수연,1990-11-24,여,010-2345-5432,parksuyeon33@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,suyeon033,2024-11-08,vip,대형 세단,G90 (HI),2024-12-03,"99,670,000",계좌이체,5,오프라인
12,박영희,1988-05-07,여,010-3456-7890,parkyeonghee3@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,yeonghee003,2023-06-07,일반, 중형 suv,Santa-Fe (MX5 PHEV),2023-07-07,"45,980,000",현금,2,오프라인
13,박준석,1997-08-05,남,010-8901-2345,parkjoonseok28@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,joonseok028,2024-12-12,일반,준중형 세단,Avante (CN7 N),2025-01-02,"35,170,000",계좌이체,1,오프라인
14,박지수,1996-01-02,여,010-2345-6789,parkjisu22@himedia.co.kr,광주광역시 서구 치평동 14-7,jisu022,2024-01-13,일반, 중형 suv,Santa-Fe ™,2024-02-03,"34,920,000",계좌이체,2,오프라인
15,박찬우,1980-02-04,남,010-8901-2345,parkchanwoo37@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,chanwoo037,2023-06-28,일반,준중형 세단,Avante (CN7 N),2023-08-07,"35,170,000",신용카드,3,오프라인
16,이동훈,1985-01-07,남,010-5678-9012,leedonghoon15@himedia.co.kr,울산광역시 남구 달동 23-5,donghoon015,2024-04-18,일반,준대형 세단,Grandeur (GN7 HEV),2024-05-06,"52,410,000",신용카드,1,오프라인
17,이상미,1966-07-01,여,010-2345-6789,leesangmi41@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,sangmi041,2024-09-18,신규, 중형 suv,Santa-Fe ™,2024-10-03,"34,920,000",신용카드,1,오프라인
18,이상훈,1974-01-02,남,010-4567-8901,leesanghoon24@himedia.co.kr,서울특별시 종로구 청운동 67-89,sanghoon024,2024-01-13,일반,준중형 suv,Tucson (NX4 PHEV),2024-02-27,"39,500,000",신용카드,1,오프라인
19,이상희,1972-06-01,남,010-2345-6789,leeshanghee12@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,shanghee012,2023-04-28,일반,준대형 세단,Grandeur (GN7 HEV),2023-05-07,"52,410,000",신용카드,1,오프라인
20,이은지,1988-03-06,남,010-7890-1234,leeunji27@himedia.co.kr,부산광역시 해운대구 우동 101-12,unji027,2024-08-11,일반,준대형 세단,Grandeur (GN7 HEV),2024-08-15,"52,410,000",신용카드,1,오프라인
21,이정민,1984-05-06,남,010-9012-3456,leejeongmin19@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,jeongmin019,2024-01-07,일반,중형 세단,G70 (IK),2024-01-15,"50,230,000",신용카드,1,오프라인
22,이주호,1987-02-03,남,010-1234-4321,leejooho32@himedia.co.kr,서울특별시 종로구 청운동 67-89,jooho032,2024-10-19,vip,대형 세단,G90 (RS4),2024-12-16,"134,370,000",신용카드,5,오프라인
23,이하늘,1989-04-03,남,010-7890-1234,leehaneul36@himedia.co.kr,광주광역시 서구 치평동 14-7,haneul036,2024-09-22,일반, 중형 suv,Santa-Fe ™,2024-09-25,"34,920,000",신용카드,3,오프라인
24,이현주,1972-05-02,여,010-7890-4754,leeheonjoo7@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,heonjoo007,2025-01-01,일반,준중형 해치백,IONIQ (AE EV),2025-01-11,"44,400,000",신용카드,2,오프라인
25,정미래,1971-06-04,여,010-9012-3456,jeongmirae29@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,mirae029,2024-02-28,일반,준대형 세단,Grandeur (GN7 HEV),2024-04-22,"52,410,000",신용카드,2,오프라인
26,정미선,1975-02-04,남,010-8901-2345,jeongmiseon18@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,miseon018,2023-06-04,일반,준중형 suv,Tucson (NX4 PHEV),2023-07-08,"39,500,000",신용카드,1,오프라인
27,정상훈,1996-05-02,남,010-9012-3456,jeongsanghoon38@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,sanghoon038,2023-08-17,일반,준대형 세단,Grandeur (GN7 HEV),2023-08-19,"52,410,000",신용카드,1,오프라인
28,정영철,1985-04-02,남,010-5678-9012,jeongyoungcheol25@himedia.co.kr,서울특별시 강남구 역삼동 123-45,youngcheol025,2024-04-08,일반,준대형 suv,Palisade (LX2),2024-05-16,"59,460,000",신용카드,1,오프라인
29,정은혜,2001-04-06,여,010-5678-8765,jeongeunhye100@himedia.co.kr,서울특별시 종로구 청운동 67-89,eunhye100,2024-08-13,일반,준중형 세단,Avante (CN7 N),2024-09-11,"35,170,000",신용카드,1,오프라인
30,정지우,1983-02-04,남,010-4567-8901,jeongjiwoo14@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,jiwoo014,2024-07-20,일반,준중형 해치백,i30 (PD),2024-07-28,"25,560,000",신용카드,1,오프라인
31,정태수,1962-05-06,남,010-0123-4567,jeongtaesu10@himedia.co.kr,서울특별시 종로구 청운동 67-89,taesu010,2024-11-18,일반,준대형 세단,Grandeur (GN7 HEV),2024-12-25,"52,410,000",신용카드,1,오프라인
32,정하윤,1999-07-07,여,010-5678-9012,jeonghayun5@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,hayun005,2024-11-11,일반,준중형 해치백,i30 (PD),2024-11-18,"25,560,000",신용카드,2,오프라인
33,최강호,1992-04-05,남,010-7890-1234,choikangho17@himedia.co.kr,울산광역시 남구 달동 23-5,kangho017,2024-01-10,일반,준중형 해치백,IONIQ (AE EV),2024-01-16,"44,400,000",신용카드,1,온라인
34,최민우,1977-05-02,남,010-3456-7890,choiminwoo13@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,minwoo013,2024-05-11,일반,준대형 suv,Palisade (LX2),2024-06-28,"59,460,000",신용카드,1,오프라인
35,최영호,1966-03-02,남,010-3456-7890,choiyeongho23@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,yeongho023,2025-01-01,일반,준중형 세단,Avante (CN7 N),2025-01-11,"35,170,000",신용카드,1,오프라인
36,최지훈,1978-09-05,남,010-4567-8901,choijihun4@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,jihun004,2023-03-28,일반,준중형 해치백,i30 (PD),2023-04-25,"25,560,000",신용카드,1,오프라인
37,한서희,1975-03-05,여,010-1234-5678,kimhana11@himedia.co.kr,서울특별시 종로구 청운동 67-89,hana011,2024-05-18,일반,준중형 해치백,IONIQ (AE EV),2024-06-02,"44,400,000",신용카드,1,오프라인
38,한예빈,1997-08-01,여,010-6789-0123,parksoyeong16@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,soyeong016,2024-06-28,일반, 중형 suv,Santa-Fe ™,2024-07-08,"34,920,000",신용카드,1,오프라인
39,홍상훈,1994-12-01,남,010-0123-4567,hongsanghoon30@himedia.co.kr,부산광역시 해운대구 우동 101-12,sanghoon030,2024-02-03,일반,준중형 해치백,i30 (PD),2024-02-22,"25,560,000",신용카드,1,오프라인
40,홍성우,1999-06-02,남,010-1234-5678,honggildong21@himedia.co.kr,울산광역시 남구 달동 23-5,gildong021,2023-08-18,일반,준대형 suv,Palisade (LX2),2023-09-30,"59,460,000",신용카드,2,온라인
41,홍수진,1970-03-09,남,010-0123-4567,hongsujin39@himedia.co.kr,인천광역시 남동구 구월동 88-10,sujin039,2023-03-03,일반,준대형 세단,Grandeur (GN7 HEV),2023-03-03,"52,410,000",신용카드,1,오프라인
42,홍지민,1980-11-10,남,010-9012-3456,hongjimin9@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,jimin009,2024-07-07,일반,준대형 세단,Grandeur (GN7 HEV),2024-07-08,"52,410,000",신용카드,1,온라인
43,김하윤,1960-03-12,남,054-555-6645,sunoggim@cagim.kr,부산광역시 해운대구 우동 101-12,seonyeongmun,2024-09-26,일반,준대형 세단,Avante (CN7 N),2023-05-04,"82,080,000",신용카드,2,오프라인
44,이지원,1959-11-17,여,032-566-6729,lju@nate.com,경기도 수원시 영통구 원천동 12-34,gimgyeongja,2022-03-22,일반,중형 suv,Santa-Fe ™,2024-07-04,"72,110,000",신용카드,1,온라인
45,박미영,1980-11-09,남,041-065-8495,eungyeonggim@hanmail.net,충청남도 천안시 동남구 성성동 22-3,gyun,2024-05-09,일반,대형 suv,G80 (RG3),2024-01-07,"38,660,000",신용카드,1,온라인
46,이정수,1996-12-13,남,052-162-4161,rcoe@daum.net,울산광역시 남구 달동 23-5,namsumin,2023-05-25,이탈가능,준중형 세단,Santa-Fe ™,2024-07-04,"37,700,000",현금,5,온라인
47,최현지,1994-06-26,남,070-0392-0424,yeweon24@ju.kr,대구광역시 수성구 범어동 55-3,jihungim,2022-07-22,일반,준대형 세단,Avante (CN7 N),2023-05-22,"79,860,000",신용카드,1,오프라인
48,김도현,1987-01-09,남,032-127-1765,jeongsig00@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sumin33,2024-09-27,일반,준중형 세단,NEXO (FE),2023-06-17,"49,930,000",계좌이체,4,오프라인
49,송성민,1976-01-24,여,041-012-7092,gangeunji@yuhanhoesa.net,경기도 성남시 분당구 정자동 56-78,bagogsun,2022-11-05,vip,대형 suv,NEXO (FE),2023-08-27,"54,910,000",현금,4,온라인
50,김민지,1998-01-27,남,041-688-2563,ki@live.com,경상북도 포항시 남구 대도동 19-2,jia18,2024-09-22,신규,대형 suv,Avante (CN7 N),2023-09-19,"53,760,000",현금,2,오프라인
51,이성현,1974-04-23,남,054-902-5788,minjunhan@jusighoesa.com,울산광역시 남구 달동 23-5,lgang,2023-02-04,vip,중형 suv,G70 (IK),2023-05-22,"57,450,000",계좌이체,1,온라인
52,박주원,1956-02-25,남,02-1448-5380,ugim@munio.net,인천광역시 남동구 구월동 88-10,coehyeonji,2023-12-19,신규,픽업트럭,Santa-Fe ™,2024-11-28,"75,020,000",현금,5,오프라인
53,김민석,1980-04-09,여,031-673-1720,lgim@yuhanhoesa.net,경기도 수원시 영통구 원천동 12-34,hongjiweon,2023-02-20,vip,대형 suv,Santa-Fe ™,2024-06-03,"68,050,000",계좌이체,2,오프라인
54,조영순,1980-12-19,여,032-871-9659,jaeho07@yu.com,울산광역시 남구 달동 23-5,jihyeon92,2023-02-22,일반,중형 suv,Santa-Fe ™,2025-02-13,"89,190,000",계좌이체,2,오프라인
55,김옥자,1967-03-24,여,010-0631-9882,jeongsu99@yuhanhoesa.com,대전광역시 유성구 봉명동 44-2,yunseosong,2022-12-03,이탈가능,중형 suv,Avante (CN7 N),2023-04-05,"88,480,000",신용카드,1,온라인
56,정지영,1977-11-10,여,055-306-7917,gyeonghyi68@isongseo.kr,전라북도 전주시 완산구 덕진동 33-7,ni,2024-12-16,신규,준중형 세단,NEXO (FE),2024-04-17,"65,090,000",계좌이체,2,온라인
57,최성호,1962-07-02,남,044-677-0796,seojuncoe@oyun.com,대구광역시 수성구 범어동 55-3,junyeongcoe,2022-12-19,이탈가능,픽업트럭,Santa-Fe ™,2025-02-13,"76,580,000",신용카드,5,온라인
58,서은정,2005-03-04,여,032-170-6440,ugim@daum.net,서울특별시 종로구 청운동 67-89,seoyeon90,2024-07-07,신규,소형 해치백,G70 (IK),2024-08-31,"57,120,000",계좌이체,5,온라인
59,구도현,1985-06-07,남,054-487-5794,sanghyeon16@ju.com,대전광역시 유성구 봉명동 44-2,jihyeon11,2024-08-28,vip,준대형 세단,G80 (RG3),2023-12-11,"60,270,000",현금,2,온라인
60,안민수,1965-07-21,남,064-759-4881,yeonghyi48@yu.kr,충청남도 천안시 동남구 성성동 22-3,pi,2024-08-24,일반,소형 해치백,NEXO (FE),2023-06-07,"43,120,000",현금,1,오프라인
61,남예진,1972-09-24,남,042-496-3606,sanghun79@hanmail.net,대구광역시 수성구 범어동 55-3,whan,2024-08-14,일반,준대형 세단,Avante (CN7 N),2024-04-16,"77,400,000",현금,1,오프라인
62,엄재현,1999-03-22,남,052-154-1236,gangjunhyeog@gmail.com,충청남도 천안시 동남구 성성동 22-3,jidonghyeon,2024-02-04,신규,준중형 세단,NEXO (FE),2024-02-11,"67,120,000",현금,1,온라인
63,서미정,1961-05-05,여,041-966-9178,jeongsug39@bagjang.net,대구광역시 수성구 범어동 55-3,seunghyeongim,2023-07-28,이탈가능,소형 해치백,G70 (IK),2023-04-15,"50,710,000",계좌이체,3,오프라인
64,김상훈,1954-03-13,남,063-532-6061,ogsunmun@nate.com,충청남도 천안시 동남구 성성동 22-3,lgim,2024-11-04,일반,준대형 세단,G70 (IK),2024-12-19,"87,880,000",계좌이체,4,오프라인
65,김정수,2002-09-24,여,041-960-0393,rbag@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,minjaegim,2025-01-08,일반,대형 suv,Avante (CN7 N),2024-06-26,"79,830,000",현금,4,오프라인
66,김미경,1984-07-29,남,033-638-1854,jugwangsu@jusighoesa.net,경기도 수원시 영통구 원천동 12-34,seohyeon32,2023-07-07,이탈가능,준대형 세단,G70 (IK),2023-05-15,"79,370,000",신용카드,2,오프라인
67,김은영,1978-02-13,여,053-885-4603,egang@icoe.com,충청북도 청주시 상당구 낙실동 9-1,sangceolcoe,2023-06-22,신규,대형 suv,G80 (RG3),2023-12-09,"40,770,000",현금,3,온라인
68,진아름,2001-04-12,여,011-666-3726,bgang@yuhanhoesa.kr,부산광역시 해운대구 우동 101-12,ai,2023-10-27,vip,대형 suv,G70 (IK),2024-10-12,"60,710,000",계좌이체,4,오프라인
69,손병철,1975-06-29,남,054-059-8995,ogim@yu.com,서울특별시 종로구 청운동 67-89,seonghun39,2025-01-25,신규,준대형 세단,NEXO (FE),2024-09-02,"37,420,000",계좌이체,2,온라인
70,윤경희,1973-09-17,남,062-112-1913,hyeonugim@yuhanhoesa.com,경상남도 창원시 의창구 봉곡동 48-6,yejungang,2022-12-11,신규,중형 suv,G70 (IK),2023-07-20,"71,520,000",현금,5,오프라인
71,이정자,2004-03-16,여,010-2415-1251,hgim@daum.net,충청남도 천안시 동남구 성성동 22-3,myeongsug84,2024-02-01,이탈가능,중형 suv,Avante (CN7 N),2023-08-26,"34,130,000",계좌이체,5,온라인
72,김현준,1957-10-24,남,011-345-1098,rgim@dreamwiz.com,대구광역시 수성구 범어동 55-3,jihye30,2022-05-10,신규,대형 suv,Santa-Fe ™,2023-09-16,"76,700,000",계좌이체,4,오프라인
73,최채원,1958-05-01,남,053-541-6149,caeweon12@live.com,경상북도 포항시 남구 대도동 19-2,jhan,2024-01-03,vip,준중형 세단,G80 (RG3),2024-06-07,"57,710,000",신용카드,3,오프라인
74,최정호,1987-04-06,남,053-194-7742,ei@yu.com,부산광역시 해운대구 우동 101-12,jeonghoi,2024-09-28,이탈가능,대형 suv,Santa-Fe ™,2023-09-30,"89,020,000",현금,3,오프라인
75,김지훈,1975-08-30,남,064-784-0790,ieunjeong@yu.com,전라북도 전주시 완산구 덕진동 33-7,mjo,2022-11-16,신규,중형 suv,Santa-Fe ™,2023-03-18,"89,450,000",현금,1,온라인
76,장정식,1985-04-07,남,018-721-5422,gimjunhyeog@live.com,경기도 수원시 영통구 원천동 12-34,hyeonsug93,2022-12-06,일반,픽업트럭,Avante (CN7 N),2023-07-07,"66,280,000",신용카드,5,온라인
77,심성호,1970-01-26,여,043-888-0413,pgim@igim.kr,대전광역시 유성구 봉명동 44-2,yujin12,2022-03-27,신규,중형 suv,NEXO (FE),2023-12-19,"33,070,000",신용카드,3,오프라인
78,안경수,1977-01-22,남,042-672-7261,seonghyeongim@gmail.com,대구광역시 수성구 범어동 55-3,jeonghyibag,2022-10-10,이탈가능,준대형 세단,NEXO (FE),2024-01-08,"49,550,000",현금,2,온라인
79,황민재,1963-02-13,남,052-048-5499,jgim@nate.com,전라남도 목포시 부주동 77-8,yeongsuni,2022-11-16,이탈가능,픽업트럭,Avante (CN7 N),2024-08-07,"36,020,000",신용카드,3,오프라인
80,김혜진,1997-04-15,남,044-287-6402,sonmijeong@yu.kr,서울특별시 종로구 청운동 67-89,eunji78,2023-11-17,일반,준중형 세단,G80 (RG3),2025-01-03,"64,440,000",신용카드,1,오프라인
81,김서준,1954-06-08,남,055-795-0081,mundonghyeon@gimseongi.kr,경상남도 창원시 의창구 봉곡동 48-6,seungminjang,2022-10-27,이탈가능,준대형 세단,G80 (RG3),2024-09-18,"43,750,000",신용카드,2,온라인
82,강서영,1994-01-04,여,044-329-6982,songyeongja@dreamwiz.com,서울특별시 종로구 청운동 67-89,caeweon92,2024-07-06,이탈가능,준대형 세단,NEXO (FE),2024-04-04,"79,430,000",계좌이체,2,오프라인
83,김지원,1958-06-02,남,018-428-7425,minjun91@live.com,광주광역시 서구 치평동 14-7,qcoe,2023-10-09,일반,소형 해치백,G70 (IK),2023-10-12,"47,210,000",계좌이체,5,온라인
84,구영자,1972-06-26,여,051-551-0008,lhan@hanmail.net,서울특별시 강남구 역삼동 123-45,jeongho77,2022-12-10,이탈가능,대형 suv,Santa-Fe ™,2023-11-29,"85,590,000",신용카드,5,온라인
85,장숙자,1977-04-04,여,016-846-1892,sanghyeon29@hanmail.net,울산광역시 남구 달동 23-5,jieuncoe,2024-03-22,vip,픽업트럭,G70 (IK),2024-09-20,"71,210,000",신용카드,2,온라인
86,최순자,1976-06-08,남,064-717-6890,seunghyeon10@janggim.com,광주광역시 서구 치평동 14-7,ryuseonghyeon,2022-06-04,일반,중형 suv,G80 (RG3),2025-02-08,"89,790,000",계좌이체,2,오프라인
87,류정숙,1985-12-18,여,055-654-3324,anjunho@yu.kr,부산광역시 해운대구 우동 101-12,dohyeonhwang,2023-01-10,vip,소형 해치백,G80 (RG3),2024-11-03,"83,120,000",신용카드,2,오프라인
88,김영진,1982-09-08,남,031-093-8682,ogjacoe@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,jungsu25,2025-02-18,vip,픽업트럭,G80 (RG3),2024-11-28,"81,900,000",현금,5,온라인
89,박옥자,1997-09-02,남,016-697-3319,ryujihyeon@coei.org,광주광역시 서구 치평동 14-7,donghyeonhwang,2025-02-17,vip,중형 suv,Santa-Fe ™,2023-07-13,"62,020,000",신용카드,4,온라인
90,윤경숙,1997-06-02,여,070-9968-9396,geonu77@jusighoesa.com,광주광역시 서구 치평동 14-7,kgim,2024-03-03,신규,픽업트럭,G80 (RG3),2023-07-07,"79,780,000",신용카드,4,오프라인
91,김지영,1971-03-05,남,070-5521-1003,seojeonghun@igimyang.net,울산광역시 남구 달동 23-5,anyeonggil,2024-03-21,일반,소형 해치백,NEXO (FE),2025-02-21,"79,430,000",계좌이체,3,오프라인
92,이상현,1956-02-23,여,043-363-4302,gimminjun@nate.com,서울특별시 종로구 청운동 67-89,haeun00,2023-02-25,일반,준대형 세단,Santa-Fe ™,2025-02-23,"30,270,000",현금,3,오프라인
93,김하은,1986-02-12,남,031-783-9984,anjeongnam@nate.com,부산광역시 해운대구 우동 101-12,yeongjagim,2023-09-17,이탈가능,준대형 세단,Avante (CN7 N),2024-08-14,"32,780,000",계좌이체,5,오프라인
94,류건우,1963-11-23,여,051-143-0807,donghyeon65@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,haeun06,2022-09-06,vip,중형 suv,Santa-Fe ™,2023-12-27,"49,320,000",신용카드,2,오프라인
95,손지영,2000-03-31,남,031-694-4782,baegyeongsu@dreamwiz.com,인천광역시 남동구 구월동 88-10,yangyeongja,2022-04-15,이탈가능,중형 suv,G80 (RG3),2024-11-05,"76,660,000",신용카드,4,온라인
96,김경희,1983-12-18,남,061-628-9942,jiyeonggim@nate.com,경기도 성남시 분당구 정자동 56-78,xbag,2024-12-02,이탈가능,준대형 세단,G70 (IK),2024-07-01,"85,860,000",계좌이체,2,오프라인
97,김유진,1988-04-18,남,063-444-8995,sugjagim@igimmun.kr,인천광역시 남동구 구월동 88-10,jihyeonbag,2023-08-18,이탈가능,소형 해치백,Avante (CN7 N),2024-01-23,"88,130,000",신용카드,5,오프라인
98,장현정,1975-03-27,여,055-283-5058,iseonghyeon@yu.kr,경기도 수원시 영통구 원천동 12-34,jungsuyun,2022-11-02,vip,준대형 세단,Santa-Fe ™,2023-10-01,"79,770,000",신용카드,2,온라인
99,서정순,1984-05-24,남,064-716-4155,dgweon@yuhanhoesa.com,광주광역시 서구 치평동 14-7,ygim,2023-09-15,신규,중형 suv,G80 (RG3),2025-02-05,"74,040,000",현금,1,온라인
100,차상호,1999-11-25,남,052-638-2768,jaehogim@hotmail.com,경상북도 포항시 남구 대도동 19-2,pgim,2022-11-08,일반,준중형 세단,Santa-Fe ™,2024-11-04,"54,940,000",신용카드,2,오프라인
101,안주원,1987-11-12,여,043-665-7829,seungminjang@hotmail.com,충청남도 천안시 동남구 성성동 22-3,sonyeongceol,2022-10-12,일반,중형 suv,NEXO (FE),2024-01-16,"72,840,000",계좌이체,2,온라인
102,이현숙,1977-06-26,남,010-9540-2153,jgim@yuhanhoesa.kr,광주광역시 서구 치평동 14-7,anjeonghun,2022-03-25,일반,중형 suv,G80 (RG3),2023-06-18,"57,850,000",현금,1,온라인
103,윤예원,1987-05-31,남,052-148-8058,eunyeong01@yu.org,울산광역시 남구 달동 23-5,eunyeong65,2023-10-23,신규,픽업트럭,NEXO (FE),2023-08-16,"57,310,000",신용카드,2,오프라인
104,이영진,1981-08-17,남,054-053-6661,ihyeonsug@daum.net,대구광역시 수성구 범어동 55-3,bi,2023-08-17,신규,준대형 세단,Avante (CN7 N),2024-11-30,"45,700,000",현금,4,온라인
105,김정훈,1991-07-10,남,044-714-4098,gyeonghyi99@yuo.com,경상남도 창원시 의창구 봉곡동 48-6,ijeongsu,2022-05-13,vip,준중형 세단,Santa-Fe ™,2024-12-05,"41,850,000",신용카드,2,온라인
106,김은주,1994-04-30,여,042-804-5898,yeongsucoe@yu.org,대전광역시 유성구 봉명동 44-2,gimjeonghun,2023-10-31,일반,중형 suv,G70 (IK),2024-11-18,"87,840,000",계좌이체,1,오프라인
107,곽건우,1980-02-20,남,019-873-3751,gimdoyun@gimgo.org,부산광역시 해운대구 우동 101-12,sugjagim,2023-10-19,일반,준중형 세단,Avante (CN7 N),2024-08-31,"84,100,000",계좌이체,3,오프라인
108,이순자,1989-05-27,여,042-425-7384,juweoncoe@hotmail.com,경상북도 포항시 남구 대도동 19-2,yeji21,2023-07-27,일반,대형 suv,NEXO (FE),2023-04-27,"82,050,000",신용카드,5,온라인
109,안민재,1969-11-21,여,063-424-5125,sgim@hanmail.net,경기도 수원시 영통구 원천동 12-34,seohyeon66,2022-06-05,이탈가능,중형 suv,G70 (IK),2023-08-19,"60,860,000",신용카드,5,온라인
110,김지현,1966-09-01,여,016-549-4266,vgang@gangbag.com,대전광역시 유성구 봉명동 44-2,cgweon,2023-07-01,vip,중형 suv,Santa-Fe ™,2023-05-29,"71,220,000",현금,4,온라인
111,최현준,1966-11-27,남,044-230-1731,yi@gimgim.org,대구광역시 수성구 범어동 55-3,gimsanghyeon,2024-09-02,이탈가능,준대형 세단,G70 (IK),2024-03-21,"33,690,000",계좌이체,4,오프라인
112,권동현,1981-02-16,여,063-626-9842,hi@hwanggim.kr,울산광역시 남구 달동 23-5,jiagim,2024-03-09,신규,픽업트럭,NEXO (FE),2025-01-31,"37,190,000",계좌이체,4,온라인
113,심정희,1996-12-16,남,041-847-2351,gimmiyeong@live.com,인천광역시 남동구 구월동 88-10,junseou,2022-09-10,신규,픽업트럭,G70 (IK),2024-12-06,"36,260,000",계좌이체,5,온라인
114,김순옥,1999-04-19,여,018-072-6912,qi@jusighoesa.com,서울특별시 강남구 역삼동 123-45,jongsu53,2024-10-22,vip,소형 해치백,Santa-Fe ™,2023-04-22,"55,710,000",신용카드,2,오프라인
115,이영순,1980-03-19,여,018-988-8211,seoyeon50@yu.com,대전광역시 유성구 봉명동 44-2,hyeonju64,2023-03-28,일반,소형 해치백,G70 (IK),2023-04-22,"59,060,000",계좌이체,1,온라인
116,우미영,1975-12-16,여,018-545-3522,ei@jusighoesa.kr,울산광역시 남구 달동 23-5,sangceolhan,2023-10-09,vip,픽업트럭,G70 (IK),2024-12-11,"37,480,000",현금,5,온라인
117,김정식,1974-12-16,여,051-779-1002,bi@sonjin.net,부산광역시 해운대구 우동 101-12,hyejin16,2023-10-20,신규,픽업트럭,NEXO (FE),2023-09-28,"39,150,000",신용카드,4,온라인
118,이시우,2000-09-21,남,061-364-6763,ibaeg@jusighoesa.kr,경상남도 창원시 의창구 봉곡동 48-6,songjeongja,2023-11-15,이탈가능,중형 suv,Avante (CN7 N),2023-12-04,"77,130,000",현금,1,오프라인
119,이서영,1964-02-21,남,02-2998-7447,jeongho43@live.com,울산광역시 남구 달동 23-5,mijeong80,2023-08-28,일반,준대형 세단,Santa-Fe ™,2024-08-09,"56,480,000",현금,5,오프라인
