고객ID,생년월일,성별,주소,가입일,고객세그먼트,금액,차량구분,구매 횟수,누적 구매 금액,구매 날짜,거래 방식,구매 경로
jooho032,1987-02-03,남,서울특별시 종로구 청운동 67-89,2024-10-19,vip,134370000,대형 세단,5,671850000,2024-12-16,신용카드,오프라인
haneul036,1989-04-03,남,광주광역시 서구 치평동 14-7,2024-09-22,일반,34920000,중형 SUV,3,104760000,2024-09-25,신용카드,오프라인
heonjoo007,1972-05-02,여,전라북도 전주시 완산구 덕진동 33-7,2025-01-01,일반,44400000,중형 세단,2,88800000,2025-01-11,신용카드,오프라인
mirae029,1971-06-04,여,경기도 성남시 분당구 정자동 56-78,2024-02-28,일반,52410000,준대형 세단,2,104820000,2024-04-22,신용카드,오프라인
miseon018,1975-02-04,남,충청북도 청주시 상당구 낙실동 9-1,2023-06-04,일반,39500000,준중형 SUV,1,39500000,2023-07-08,신용카드,오프라인
sanghoon038,1996-05-02,남,경상북도 포항시 남구 대도동 19-2,2023-08-17,일반,52410000,준대형 세단,1,52410000,2023-08-19,신용카드,오프라인
youngcheol025,1985-04-02,남,서울특별시 강남구 역삼동 123-45,2024-04-08,일반,59460000,대형 SUV,1,59460000,2024-05-16,신용카드,오프라인
eunhye100,2001-04-06,여,서울특별시 종로구 청운동 67-89,2024-08-13,일반,35170000,준중형 세단,1,35170000,2024-09-11,신용카드,오프라인
jiwoo014,1983-02-04,남,경기도 수원시 영통구 원천동 12-34,2024-07-20,일반,25560000,준중형 해치백,1,25560000,2024-07-28,신용카드,오프라인
taesu010,1962-05-06,남,서울특별시 종로구 청운동 67-89,2024-11-18,일반,52410000,준대형 세단,1,52410000,2024-12-25,신용카드,오프라인
hayun005,1999-07-07,여,충청남도 천안시 동남구 성성동 22-3,2024-11-11,일반,25560000,준중형 해치백,2,51120000,2024-11-18,신용카드,오프라인
kangho017,1992-04-05,남,울산광역시 남구 달동 23-5,2024-01-10,일반,44400000,중형 세단,1,44400000,2024-01-16,신용카드,온라인
minwoo013,1977-05-02,남,경기도 성남시 분당구 정자동 56-78,2024-05-11,일반,59460000,대형 SUV,1,59460000,2024-06-28,신용카드,오프라인
yeongho023,1966-03-02,남,경기도 성남시 분당구 정자동 56-78,2025-01-01,일반,35170000,준중형 세단,1,35170000,2025-01-11,신용카드,오프라인
jihun004,1978-09-05,남,충청남도 천안시 동남구 성성동 22-3,2023-03-28,일반,25560000,준중형 해치백,1,25560000,2023-04-25,신용카드,오프라인
hana011,1975-03-05,여,서울특별시 종로구 청운동 67-89,2024-05-18,일반,44400000,중형 세단,1,44400000,2024-06-02,신용카드,오프라인
soyeong016,1997-08-01,여,충청북도 청주시 상당구 낙실동 9-1,2024-06-28,일반,34920000,중형 SUV,1,34920000,2024-07-08,신용카드,오프라인
sanghoon030,1994-12-01,남,부산광역시 해운대구 우동 101-12,2024-02-03,일반,25560000,준중형 해치백,1,25560000,2024-02-22,신용카드,오프라인
gildong021,1999-06-02,남,울산광역시 남구 달동 23-5,2023-08-18,일반,59460000,대형 SUV,2,118920000,2023-09-30,신용카드,온라인
sujin039,1970-03-09,남,인천광역시 남동구 구월동 88-10,2023-03-03,일반,52410000,준대형 세단,1,52410000,2023-03-03,신용카드,오프라인
jimin009,1980-11-10,남,경상북도 포항시 남구 대도동 19-2,2024-07-07,일반,52410000,준대형 세단,1,52410000,2024-07-08,신용카드,온라인
seonyeongmun,1960-03-12,남,부산광역시 해운대구 우동 101-12,2024-09-26,일반,82080000,준중형 세단,2,164160000,2023-05-04,신용카드,오프라인
gimgyeongja,1959-11-17,여,경기도 수원시 영통구 원천동 12-34,2022-03-22,일반,72110000,중형 SUV,1,72110000,2024-07-04,신용카드,온라인
gyun,1980-11-09,남,충청남도 천안시 동남구 성성동 22-3,2024-05-09,일반,38660000,준대형 세단,1,38660000,2024-01-07,신용카드,온라인
namsumin,1996-12-13,남,울산광역시 남구 달동 23-5,2023-05-25,이탈가능,37700000,중형 SUV,5,188500000,2024-07-04,현금,온라인
jihungim,1994-06-26,남,대구광역시 수성구 범어동 55-3,2022-07-22,일반,79860000,준중형 세단,1,79860000,2023-05-22,신용카드,오프라인
sumin33,1987-01-09,남,경상북도 포항시 남구 대도동 19-2,2024-09-27,일반,49930000,중형 SUV,4,199720000,2023-06-17,계좌이체,오프라인
bagogsun,1976-01-24,여,경기도 성남시 분당구 정자동 56-78,2022-11-05,vip,54910000,중형 SUV,4,219640000,2023-08-27,현금,온라인
jia18,1998-01-27,남,경상북도 포항시 남구 대도동 19-2,2024-09-22,신규,53760000,준중형 세단,2,107520000,2023-09-19,현금,오프라인
lgang,1974-04-23,남,울산광역시 남구 달동 23-5,2023-02-04,vip,57450000,준중형 세단,1,57450000,2023-05-22,계좌이체,온라인
coehyeonji,1956-02-25,남,인천광역시 남동구 구월동 88-10,2023-12-19,신규,75020000,중형 SUV,5,375100000,2024-11-28,현금,오프라인
hongjiweon,1980-04-09,여,경기도 수원시 영통구 원천동 12-34,2023-02-20,vip,68050000,중형 SUV,2,136100000,2024-06-03,계좌이체,오프라인
jihyeon92,1980-12-19,여,울산광역시 남구 달동 23-5,2023-02-22,일반,89190000,중형 SUV,2,178380000,2025-02-13,계좌이체,오프라인
yunseosong,1967-03-24,여,대전광역시 유성구 봉명동 44-2,2022-12-03,이탈가능,88480000,준중형 세단,1,88480000,2023-04-05,신용카드,온라인
ni,1977-11-10,여,전라북도 전주시 완산구 덕진동 33-7,2024-12-16,신규,65090000,중형 SUV,2,130180000,2024-04-17,계좌이체,온라인
junyeongcoe,1962-07-02,남,대구광역시 수성구 범어동 55-3,2022-12-19,이탈가능,76580000,중형 SUV,5,382900000,2025-02-13,신용카드,온라인
seoyeon90,2005-03-04,여,서울특별시 종로구 청운동 67-89,2024-07-07,신규,57120000,준중형 세단,5,285600000,2024-08-31,계좌이체,온라인
jihyeon11,1985-06-07,남,대전광역시 유성구 봉명동 44-2,2024-08-28,vip,60270000,준대형 세단,2,120540000,2023-12-11,현금,온라인
pi,1965-07-21,남,충청남도 천안시 동남구 성성동 22-3,2024-08-24,일반,43120000,중형 SUV,1,43120000,2023-06-07,현금,오프라인
whan,1972-09-24,남,대구광역시 수성구 범어동 55-3,2024-08-14,일반,77400000,준중형 세단,1,77400000,2024-04-16,현금,오프라인
jidonghyeon,1999-03-22,남,충청남도 천안시 동남구 성성동 22-3,2024-02-04,신규,67120000,중형 SUV,1,67120000,2024-02-11,현금,온라인
seunghyeongim,1961-05-05,여,대구광역시 수성구 범어동 55-3,2023-07-28,이탈가능,50710000,준중형 세단,3,152130000,2023-04-15,계좌이체,오프라인
lgim,1954-03-13,남,충청남도 천안시 동남구 성성동 22-3,2024-11-04,일반,87880000,준중형 세단,4,351520000,2024-12-19,계좌이체,오프라인
minjaegim,2002-09-24,여,전라북도 전주시 완산구 덕진동 33-7,2025-01-08,일반,79830000,준중형 세단,4,319320000,2024-06-26,현금,오프라인
seohyeon32,1984-07-29,남,경기도 수원시 영통구 원천동 12-34,2023-07-07,이탈가능,79370000,준중형 세단,2,158740000,2023-05-15,신용카드,오프라인
sangceolcoe,1978-02-13,여,충청북도 청주시 상당구 낙실동 9-1,2023-06-22,신규,40770000,준대형 세단,3,122310000,2023-12-09,현금,온라인
ai,2001-04-12,여,부산광역시 해운대구 우동 101-12,2023-10-27,vip,60710000,준중형 세단,4,242840000,2024-10-12,계좌이체,오프라인
seonghun39,1975-06-29,남,서울특별시 종로구 청운동 67-89,2025-01-25,신규,37420000,중형 SUV,2,74840000,2024-09-02,계좌이체,온라인
yejungang,1973-09-17,남,경상남도 창원시 의창구 봉곡동 48-6,2022-12-11,신규,71520000,준중형 세단,5,357600000,2023-07-20,현금,오프라인
myeongsug84,2004-03-16,여,충청남도 천안시 동남구 성성동 22-3,2024-02-01,이탈가능,34130000,준중형 세단,5,170650000,2023-08-26,계좌이체,온라인
jihye30,1957-10-24,남,대구광역시 수성구 범어동 55-3,2022-05-10,신규,76700000,중형 SUV,4,306800000,2023-09-16,계좌이체,오프라인
jhan,1958-05-01,남,경상북도 포항시 남구 대도동 19-2,2024-01-03,vip,57710000,준대형 세단,3,173130000,2024-06-07,신용카드,오프라인
jeonghoi,1987-04-06,남,부산광역시 해운대구 우동 101-12,2024-09-28,이탈가능,89020000,중형 SUV,3,267060000,2023-09-30,현금,오프라인
mjo,1975-08-30,남,전라북도 전주시 완산구 덕진동 33-7,2022-11-16,신규,89450000,중형 SUV,1,89450000,2023-03-18,현금,온라인
hyeonsug93,1985-04-07,남,경기도 수원시 영통구 원천동 12-34,2022-12-06,일반,66280000,준중형 세단,5,331400000,2023-07-07,신용카드,온라인
yujin12,1970-01-26,여,대전광역시 유성구 봉명동 44-2,2022-03-27,신규,33070000,중형 SUV,3,99210000,2023-12-19,신용카드,오프라인
jeonghyibag,1977-01-22,남,대구광역시 수성구 범어동 55-3,2022-10-10,이탈가능,49550000,중형 SUV,2,99100000,2024-01-08,현금,온라인
yeongsuni,1963-02-13,남,전라남도 목포시 부주동 77-8,2022-11-16,이탈가능,36020000,준중형 세단,3,108060000,2024-08-07,신용카드,오프라인
eunji78,1997-04-15,남,서울특별시 종로구 청운동 67-89,2023-11-17,일반,64440000,준대형 세단,1,64440000,2025-01-03,신용카드,오프라인
seungminjang,1954-06-08,남,경상남도 창원시 의창구 봉곡동 48-6,2022-10-27,이탈가능,43750000,준대형 세단,2,87500000,2024-09-18,신용카드,온라인
caeweon92,1994-01-04,여,서울특별시 종로구 청운동 67-89,2024-07-06,이탈가능,79430000,중형 SUV,2,158860000,2024-04-04,계좌이체,오프라인
qcoe,1958-06-02,남,광주광역시 서구 치평동 14-7,2023-10-09,일반,47210000,준중형 세단,5,236050000,2023-10-12,계좌이체,온라인
jeongho77,1972-06-26,여,서울특별시 강남구 역삼동 123-45,2022-12-10,이탈가능,85590000,중형 SUV,5,427950000,2023-11-29,신용카드,온라인
jieuncoe,1977-04-04,여,울산광역시 남구 달동 23-5,2024-03-22,vip,71210000,준중형 세단,2,142420000,2024-09-20,신용카드,온라인
ryuseonghyeon,1976-06-08,남,광주광역시 서구 치평동 14-7,2022-06-04,일반,89790000,준대형 세단,2,179580000,2025-02-08,계좌이체,오프라인
dohyeonhwang,1985-12-18,여,부산광역시 해운대구 우동 101-12,2023-01-10,vip,83120000,준대형 세단,2,166240000,2024-11-03,신용카드,오프라인
jungsu25,1982-09-08,남,충청북도 청주시 상당구 낙실동 9-1,2025-02-18,vip,81900000,준대형 세단,5,409500000,2024-11-28,현금,온라인
donghyeonhwang,1997-09-02,남,광주광역시 서구 치평동 14-7,2025-02-17,vip,62020000,중형 SUV,4,248080000,2023-07-13,신용카드,온라인
kgim,1997-06-02,여,광주광역시 서구 치평동 14-7,2024-03-03,신규,79780000,준대형 세단,4,319120000,2023-07-07,신용카드,오프라인
anyeonggil,1971-03-05,남,울산광역시 남구 달동 23-5,2024-03-21,일반,79430000,중형 SUV,3,238290000,2025-02-21,계좌이체,오프라인
haeun00,1956-02-23,여,서울특별시 종로구 청운동 67-89,2023-02-25,일반,30270000,중형 SUV,3,90810000,2025-02-23,현금,오프라인
yeongjagim,1986-02-12,남,부산광역시 해운대구 우동 101-12,2023-09-17,이탈가능,32780000,준중형 세단,5,163900000,2024-08-14,계좌이체,오프라인
haeun06,1963-11-23,여,충청북도 청주시 상당구 낙실동 9-1,2022-09-06,vip,49320000,중형 SUV,2,98640000,2023-12-27,신용카드,오프라인
yangyeongja,2000-03-31,남,인천광역시 남동구 구월동 88-10,2022-04-15,이탈가능,76660000,준대형 세단,4,306640000,2024-11-05,신용카드,온라인
xbag,1983-12-18,남,경기도 성남시 분당구 정자동 56-78,2024-12-02,이탈가능,85860000,준중형 세단,2,171720000,2024-07-01,계좌이체,오프라인
jihyeonbag,1988-04-18,남,인천광역시 남동구 구월동 88-10,2023-08-18,이탈가능,88130000,준중형 세단,5,440650000,2024-01-23,신용카드,오프라인
jungsuyun,1975-03-27,여,경기도 수원시 영통구 원천동 12-34,2022-11-02,vip,79770000,중형 SUV,2,159540000,2023-10-01,신용카드,온라인
ygim,1984-05-24,남,광주광역시 서구 치평동 14-7,2023-09-15,신규,74040000,준대형 세단,1,74040000,2025-02-05,현금,온라인
pgim,1999-11-25,남,경상북도 포항시 남구 대도동 19-2,2022-11-08,일반,54940000,중형 SUV,2,109880000,2024-11-04,신용카드,오프라인
sonyeongceol,1987-11-12,여,충청남도 천안시 동남구 성성동 22-3,2022-10-12,일반,72840000,중형 SUV,2,145680000,2024-01-16,계좌이체,온라인
anjeonghun,1977-06-26,남,광주광역시 서구 치평동 14-7,2022-03-25,일반,57850000,준대형 세단,1,57850000,2023-06-18,현금,온라인
eunyeong65,1987-05-31,남,울산광역시 남구 달동 23-5,2023-10-23,신규,57310000,중형 SUV,2,114620000,2023-08-16,신용카드,오프라인
bi,1981-08-17,남,대구광역시 수성구 범어동 55-3,2023-08-17,신규,45700000,준중형 세단,4,182800000,2024-11-30,현금,온라인
ijeongsu,1991-07-10,남,경상남도 창원시 의창구 봉곡동 48-6,2022-05-13,vip,41850000,중형 SUV,2,83700000,2024-12-05,신용카드,온라인
gimjeonghun,1994-04-30,여,대전광역시 유성구 봉명동 44-2,2023-10-31,일반,87840000,준중형 세단,1,87840000,2024-11-18,계좌이체,오프라인
sugjagim,1980-02-20,남,부산광역시 해운대구 우동 101-12,2023-10-19,일반,84100000,준중형 세단,3,252300000,2024-08-31,계좌이체,오프라인
yeji21,1989-05-27,여,경상북도 포항시 남구 대도동 19-2,2023-07-27,일반,82050000,중형 SUV,5,410250000,2023-04-27,신용카드,온라인
seohyeon66,1969-11-21,여,경기도 수원시 영통구 원천동 12-34,2022-06-05,이탈가능,60860000,준중형 세단,5,304300000,2023-08-19,신용카드,온라인
cgweon,1966-09-01,여,대전광역시 유성구 봉명동 44-2,2023-07-01,vip,71220000,중형 SUV,4,284880000,2023-05-29,현금,온라인
gimsanghyeon,1966-11-27,남,대구광역시 수성구 범어동 55-3,2024-09-02,이탈가능,33690000,준중형 세단,4,134760000,2024-03-21,계좌이체,오프라인
jiagim,1981-02-16,여,울산광역시 남구 달동 23-5,2024-03-09,신규,37190000,중형 SUV,4,148760000,2025-01-31,계좌이체,온라인
junseou,1996-12-16,남,인천광역시 남동구 구월동 88-10,2022-09-10,신규,36260000,준중형 세단,5,181300000,2024-12-06,계좌이체,온라인
jongsu53,1999-04-19,여,서울특별시 강남구 역삼동 123-45,2024-10-22,vip,55710000,중형 SUV,2,111420000,2023-04-22,신용카드,오프라인
hyeonju64,1980-03-19,여,대전광역시 유성구 봉명동 44-2,2023-03-28,일반,59060000,준중형 세단,1,59060000,2023-04-22,계좌이체,온라인
sangceolhan,1975-12-16,여,울산광역시 남구 달동 23-5,2023-10-09,vip,37480000,준중형 세단,5,187400000,2024-12-11,현금,온라인
hyejin16,1974-12-16,여,부산광역시 해운대구 우동 101-12,2023-10-20,신규,39150000,중형 SUV,4,156600000,2023-09-28,신용카드,온라인
songjeongja,2000-09-21,남,경상남도 창원시 의창구 봉곡동 48-6,2023-11-15,이탈가능,77130000,준중형 세단,1,77130000,2023-12-04,현금,오프라인
mijeong80,1964-02-21,남,울산광역시 남구 달동 23-5,2023-08-28,일반,56480000,중형 SUV,5,282400000,2024-08-09,현금,오프라인
yeonghyi20,1956-12-27,여,경기도 수원시 영통구 원천동 12-34,2023-04-21,신규,80170000,중형 SUV,4,320680000,2024-07-02,현금,온라인
miyeongbag,1966-12-07,남,서울특별시 강남구 역삼동 123-45,2023-10-09,신규,66410000,준중형 세단,1,66410000,2023-04-28,현금,온라인
eunseogim,1975-12-10,여,경상남도 창원시 의창구 봉곡동 48-6,2023-08-21,신규,57200000,중형 SUV,5,286000000,2024-10-15,신용카드,온라인
gimyeongho,1970-11-29,여,대구광역시 수성구 범어동 55-3,2023-09-13,일반,67180000,중형 SUV,2,134360000,2024-01-30,계좌이체,오프라인
qyun,1975-06-05,남,대전광역시 유성구 봉명동 44-2,2022-04-21,신규,41600000,중형 SUV,5,208000000,2025-03-06,계좌이체,오프라인
ghwang,1999-06-12,남,광주광역시 서구 치평동 14-7,2023-11-07,신규,30670000,준중형 세단,5,153350000,2024-10-14,현금,온라인
gyeongjabae,1968-06-11,남,부산광역시 해운대구 우동 101-12,2023-05-07,신규,70970000,중형 SUV,3,212910000,2023-08-09,현금,온라인
iseonyeong,2002-12-16,여,서울특별시 강남구 역삼동 123-45,2023-11-04,이탈가능,64360000,중형 SUV,4,257440000,2025-02-16,계좌이체,온라인
gimjuweon,1985-12-09,여,경상북도 포항시 남구 대도동 19-2,2023-11-27,이탈가능,36230000,중형 SUV,5,181150000,2025-01-10,계좌이체,온라인
sunogi,1964-09-11,여,서울특별시 강남구 역삼동 123-45,2024-07-07,일반,73410000,중형 SUV,2,146820000,2023-04-25,계좌이체,오프라인
sgweon,1960-12-31,남,대구광역시 수성구 범어동 55-3,2022-08-17,일반,73150000,준중형 세단,5,365750000,2023-08-23,신용카드,오프라인
lcoe,1999-09-27,남,인천광역시 남동구 구월동 88-10,2023-06-12,신규,62270000,준중형 세단,3,186810000,2023-08-02,현금,온라인
fo,1978-06-04,남,충청북도 청주시 상당구 낙실동 9-1,2022-08-30,신규,37090000,준대형 세단,2,74180000,2024-07-06,현금,오프라인
gimjuweon,1983-06-25,여,인천광역시 남동구 구월동 88-10,2025-02-27,신규,43760000,중형 SUV,4,175040000,2024-08-21,계좌이체,오프라인
wcoe,1974-10-29,남,인천광역시 남동구 구월동 88-10,2023-06-10,일반,35610000,중형 SUV,2,71220000,2024-03-23,계좌이체,오프라인
haeunju,1972-09-22,남,충청북도 청주시 상당구 낙실동 9-1,2022-10-01,일반,44550000,중형 SUV,4,178200000,2024-03-25,현금,오프라인
xi,1973-03-28,남,대전광역시 유성구 봉명동 44-2,2025-01-27,vip,61350000,준중형 세단,5,306750000,2023-10-10,신용카드,온라인
yeonghwan93,1958-10-02,남,충청북도 청주시 상당구 낙실동 9-1,2023-06-29,이탈가능,69890000,중형 SUV,2,139780000,2023-06-02,계좌이체,온라인
wi,1955-12-04,여,충청남도 천안시 동남구 성성동 22-3,2023-12-24,vip,30220000,준중형 세단,1,30220000,2023-11-12,현금,오프라인
miyeonggim,1996-10-26,여,울산광역시 남구 달동 23-5,2024-03-08,신규,57580000,중형 SUV,3,172740000,2023-11-30,현금,오프라인
li,1959-04-25,여,경상남도 창원시 의창구 봉곡동 48-6,2022-07-16,이탈가능,62700000,준대형 세단,2,125400000,2023-06-08,신용카드,오프라인
jeonghyigim,1992-01-31,여,인천광역시 남동구 구월동 88-10,2023-12-31,vip,68630000,준중형 세단,5,343150000,2023-09-23,현금,온라인
gwangsuson,2003-03-08,남,충청북도 청주시 상당구 낙실동 9-1,2022-10-08,신규,85970000,중형 SUV,3,257910000,2023-08-10,신용카드,온라인
gimjihye,1996-02-24,남,경상북도 포항시 남구 대도동 19-2,2024-08-05,일반,63570000,중형 SUV,1,63570000,2024-09-17,현금,온라인
bagseongho,1969-07-24,남,부산광역시 해운대구 우동 101-12,2022-07-19,일반,32550000,준중형 세단,3,97650000,2023-11-02,현금,오프라인
yheo,1984-12-28,여,경기도 수원시 영통구 원천동 12-34,2024-12-16,vip,38140000,준중형 세단,5,190700000,2024-09-27,신용카드,오프라인
sangceolhwang,1957-03-08,여,전라남도 목포시 부주동 77-8,2023-06-06,vip,88650000,준중형 세단,5,443250000,2024-10-18,신용카드,오프라인
xgim,1958-07-27,남,전라북도 전주시 완산구 덕진동 33-7,2022-08-20,일반,47730000,준중형 세단,3,143190000,2024-04-22,신용카드,온라인
gimseongho,1988-01-21,남,경기도 수원시 영통구 원천동 12-34,2023-11-04,일반,88470000,준중형 세단,1,88470000,2023-12-28,신용카드,온라인
jia75,1982-09-28,여,경기도 성남시 분당구 정자동 56-78,2023-01-16,vip,83840000,준중형 세단,3,251520000,2024-01-29,현금,오프라인
caeweon09,2000-11-20,남,광주광역시 서구 치평동 14-7,2024-06-28,vip,58930000,중형 SUV,1,58930000,2023-11-26,신용카드,온라인
gimjihyeon,1971-03-27,남,울산광역시 남구 달동 23-5,2022-10-13,vip,67480000,준중형 세단,5,337400000,2024-01-01,현금,오프라인
imigyeong,1988-10-08,남,울산광역시 남구 달동 23-5,2024-11-16,신규,66300000,중형 SUV,4,265200000,2023-10-12,현금,온라인
idoyun,1998-04-21,남,충청북도 청주시 상당구 낙실동 9-1,2023-08-24,신규,70510000,중형 SUV,1,70510000,2023-11-03,현금,온라인
baggyeongsug,2002-11-12,여,서울특별시 강남구 역삼동 123-45,2025-01-20,일반,67020000,중형 SUV,1,67020000,2024-09-20,현금,온라인
gojihye,1962-11-22,여,서울특별시 종로구 청운동 67-89,2023-01-14,이탈가능,68300000,준중형 세단,4,273200000,2023-12-21,신용카드,온라인
jiweonmin,1956-05-07,여,광주광역시 서구 치평동 14-7,2024-06-10,일반,42060000,준중형 세단,5,210300000,2023-03-14,현금,온라인
jihyeyun,2001-04-07,여,대전광역시 유성구 봉명동 44-2,2023-01-01,일반,36550000,준중형 세단,3,109650000,2024-01-01,신용카드,오프라인
jihugim,1981-02-03,남,전라남도 목포시 부주동 77-8,2023-08-07,신규,84370000,중형 SUV,2,168740000,2025-01-20,계좌이체,오프라인
bagyeongsun,1994-10-15,남,대구광역시 수성구 범어동 55-3,2022-06-15,일반,54340000,준대형 세단,2,108680000,2023-10-13,현금,온라인
jihugim,1982-09-28,남,대전광역시 유성구 봉명동 44-2,2023-03-06,vip,39760000,중형 SUV,1,39760000,2024-07-26,신용카드,온라인
mijeong41,1985-07-24,남,충청북도 청주시 상당구 낙실동 9-1,2023-01-12,일반,48800000,준대형 세단,1,48800000,2023-12-15,계좌이체,오프라인
ggang,1968-12-19,남,경기도 성남시 분당구 정자동 56-78,2023-07-10,이탈가능,79230000,준중형 세단,2,158460000,2024-07-21,계좌이체,온라인
jinho57,1997-08-25,남,경상북도 포항시 남구 대도동 19-2,2023-05-31,일반,38860000,중형 SUV,3,116580000,2024-05-16,현금,온라인
minjunheo,1985-05-11,여,대구광역시 수성구 범어동 55-3,2023-10-06,일반,53910000,준중형 세단,3,161730000,2023-09-25,계좌이체,온라인
kgang,2000-07-04,남,경기도 수원시 영통구 원천동 12-34,2022-03-13,신규,38900000,준대형 세단,1,38900000,2023-03-27,신용카드,온라인
jihyegim,1958-09-02,남,전라남도 목포시 부주동 77-8,2024-01-12,이탈가능,72930000,중형 SUV,1,72930000,2023-12-25,계좌이체,오프라인
qcoe,1997-01-22,여,충청남도 천안시 동남구 성성동 22-3,2024-06-03,신규,55370000,준중형 세단,3,166110000,2023-10-20,계좌이체,오프라인
yeonghyigim,1976-06-02,남,서울특별시 종로구 청운동 67-89,2023-03-25,이탈가능,65540000,중형 SUV,2,131080000,2023-11-29,계좌이체,오프라인
lgim,1956-03-06,여,충청북도 청주시 상당구 낙실동 9-1,2024-01-10,신규,46520000,중형 SUV,5,232600000,2025-01-31,현금,오프라인
imyeongsug,1989-10-30,여,경기도 성남시 분당구 정자동 56-78,2022-07-27,신규,77710000,준중형 세단,1,77710000,2024-01-19,현금,온라인
hanyeongsig,1987-02-22,남,경기도 수원시 영통구 원천동 12-34,2023-06-06,신규,51200000,중형 SUV,2,102400000,2023-04-22,계좌이체,오프라인
jiahan,1963-10-11,남,서울특별시 강남구 역삼동 123-45,2022-08-12,신규,79370000,준중형 세단,1,79370000,2024-11-11,계좌이체,오프라인
sanghyeon96,1971-07-20,여,경상북도 포항시 남구 대도동 19-2,2024-12-17,vip,68370000,준중형 세단,4,273480000,2023-10-08,계좌이체,오프라인
jihugang,1968-07-06,남,광주광역시 서구 치평동 14-7,2023-05-06,vip,64060000,중형 SUV,5,320300000,2024-12-28,신용카드,오프라인
sumini,1969-08-16,여,전라남도 목포시 부주동 77-8,2025-03-04,이탈가능,48970000,준중형 세단,5,244850000,2023-05-21,계좌이체,오프라인
fseo,1963-12-25,남,경상남도 창원시 의창구 봉곡동 48-6,2024-08-25,일반,72510000,준대형 세단,4,290040000,2024-05-23,현금,오프라인
iyujin,1976-10-26,남,전라남도 목포시 부주동 77-8,2024-04-28,vip,31010000,중형 SUV,4,124040000,2024-05-25,계좌이체,오프라인
jeongsugyang,1966-01-01,여,서울특별시 강남구 역삼동 123-45,2023-03-14,vip,35130000,준중형 세단,4,140520000,2023-10-12,현금,온라인
